id,nom,prenom,email,telephone,age,ville,experience_annees,poste_actuel,entreprise_actuelle,education_niveau,diplome,universite,annee_diplome,competences_techniques,competences_langues,langues_niveau,experience_detail,projets,certifications,disponibilite,pretention_salaire
632,Benjelloun,Laila,laila.benjelloun632@email.ma,0617927250,50,Kenitra,8,"Analyste BI",Lydec,Bac+5,"Master MIAGE","Université Cadi Ayyad",2024,"MySQL, CI/CD, Pandas, JavaScript, Vue.js, Git, Angular, Java, PostgreSQL, Azure, TensorFlow","Français, Anglais","Natif, Intermédiaire","Expérience chez Maroc Telecom pendant 8 an(s).",,Azure,Immédiate,29201
633,Moussaoui,Nadia,nadia.moussaoui633@email.ma,0648555013,25,Kenitra,6,"Développeur PHP","Attijariwafa Bank",Bac+2,"Ingénieur d'état","UM5 Rabat",2024,"TensorFlow, MySQL, Kubernetes, Symfony, AWS, Agile, Java, React, CI/CD, SQL, Node.js","Arabe, Français, Anglais","Courant, Natif","Expérience chez Attijariwafa Bank pendant 6 an(s).",,,"1 mois",4181
634,Fahmi,Sara,sara.fahmi634@email.ma,0638461755,24,Agadir,7,"Architecte solutions","Maroc Telecom",Bac+3,"Master Big Data","Université Hassan II",2011,"Azure, Angular, Machine Learning, Docker, Kubernetes, TensorFlow, PostgreSQL, Agile, React, MySQL","Anglais, Français","Courant, Intermédiaire, Natif","Expérience chez REDAL pendant 7 an(s).","Projet Tableau.",,"2 mois",27047
635,Naciri,Sara,sara.naciri635@email.ma,0617253745,34,Marrakech,10,"Data Scientist","Maroc Telecom",Bac+2,"Master Big Data",ENSIAS,2024,"Angular, Git, Symfony, Vue.js, Node.js, MySQL, Scrum","Arabe, Anglais","Natif, Courant, Bilingue","Expérience chez Maroc Telecom pendant 10 an(s).",,,"1 mois",13862
636,Guessous,Zakaria,zakaria.guessous636@email.ma,0671528568,38,Khemisset,9,"Architecte solutions",Lydec,Bac+2,"Master MIAGE","Université Cadi Ayyad",2011,"Power BI, Java, React, Pandas, MySQL, Git, Machine Learning, REST API, Python","Arabe, Anglais","Courant, Natif","Expérience chez Webhelp pendant 9 an(s).","Projet Agile.",Azure,"2 mois",26012
637,Zahir,Bilal,bilal.zahir637@email.ma,0617866313,23,Settat,7,"Product Owner",Majorel,Bac+3,"Master Réseaux",EMI,2012,"Angular, JavaScript, Laravel","Arabe, Anglais","Courant, Intermédiaire","Expérience chez REDAL pendant 7 an(s).","Projet Laravel.",,"1 mois",25079
638,Idrissi,Khalid,khalid.idrissi638@email.ma,0630129013,50,Tanger,4,"Architecte solutions",OCP,Bac+2,"Master MIAGE","Université Hassan II",2011,"Docker, Agile, Machine Learning, Kubernetes, MySQL, Power BI, TensorFlow, JavaScript, CI/CD","Anglais, Arabe","Natif, Bilingue","Expérience chez CGI pendant 4 an(s).","Projet Symfony.",Azure,"2 mois",8825
639,Ouazzani,Zineb,zineb.ouazzani639@email.ma,0640301277,34,Inezgane,6,"Testeur QA","Orange Maroc",Bac+5,"Master MIAGE",EHTP,2018,"Angular, Java, Python, Power BI, SQL, Agile, CI/CD, Kubernetes, Machine Learning, Pandas, REST API, Symfony","Français, Arabe, Anglais","Intermédiaire, Bilingue","Expérience chez Inwi pendant 6 an(s).",,,"2 mois",15649
640,Zahir,Zineb,zineb.zahir640@email.ma,0657259450,46,Inezgane,13,"Ingénieur cloud",BMCE,Bac+5,"Master Big Data","FST Marrakech",2018,"SQL, MySQL, CI/CD, PostgreSQL, Vue.js, Agile","Français, Arabe","Bilingue, Natif, Intermédiaire","Expérience chez CGI pendant 13 an(s).",,Azure,Immédiate,21517
641,Sefrioui,Nour,nour.sefrioui641@email.ma,0659518585,39,Tanger,0,,,Bac+2,"Master MIAGE",EMI,2021,"Machine Learning, TensorFlow, Laravel, Java, PHP, Kubernetes, Linux, REST API, AWS","Français, Anglais, Arabe","Intermédiaire, Bilingue, Natif",,,Scrum,"2 mois",14022
642,Sbai,Imane,imane.sbai642@email.ma,0676574151,28,Khemisset,12,"Ingénieur réseau","Orange Maroc",Bac+5,"Master MIAGE",EHTP,2021,"Laravel, Power BI, Machine Learning, Linux, Symfony, SQL, Java, JavaScript, Spring, PHP","Français, Arabe","Natif, Courant, Intermédiaire","Expérience chez Inwi pendant 12 an(s).","Projet Power BI.",AWS,"3 mois",27276
643,Mekki,Meryem,meryem.mekki643@email.ma,0611650428,39,Mohammedia,14,"Data Scientist","Attijariwafa Bank",Bac+5,"Master MIAGE","FST Fes",2019,"CI/CD, SQL, PHP, Java, Symfony, Pandas, Docker, MySQL","Arabe, Anglais, Français","Intermédiaire, Courant","Expérience chez Deloitte Maroc pendant 14 an(s).","Projet Azure.",PMP,"2 mois",25966
644,Mekki,Khalid,khalid.mekki644@email.ma,0662446061,31,Rabat,2,"Consultant SAP","Orange Maroc",Bac+3,"Master MIAGE",INSEA,2015,"AWS, Java, Scrum, Angular, Laravel, SQL, MySQL, Linux, REST API, React, Tableau","Anglais, Arabe, Français","Natif, Courant","Expérience chez Royal Air Maroc pendant 2 an(s).","Projet SQL.",AWS,Immédiate,16984
645,Benkirane,Sara,sara.benkirane645@email.ma,0658635385,21,Inezgane,11,"Administrateur système",REDAL,Bac+5,"Licence informatique","FST Fes",2021,"Git, Docker, Spring, JavaScript, Power BI, TensorFlow, CI/CD, Azure, Agile, SQL","Anglais, Arabe, Français","Natif, Intermédiaire","Expérience chez Capgemini Maroc pendant 11 an(s).","Projet Linux.",,"3 mois",9243
646,Bouhout,Youssef,youssef.bouhout646@email.ma,0662202754,40,Mohammedia,14,"Développeur Full Stack",Inwi,Bac+5,"Master Data","Université Cadi Ayyad",2022,"PHP, Laravel, Node.js, PostgreSQL, React, Symfony, CI/CD, Java, Azure, Python","Français, Anglais, Arabe","Bilingue, Natif","Expérience chez Lydec pendant 14 an(s).",,Azure,Immédiate,5685
647,Sbai,Nadia,nadia.sbai647@email.ma,0652238663,49,Tanger,7,"Consultant SAP",CGI,Bac+2,"Licence informatique","Université Cadi Ayyad",2011,"TensorFlow, CI/CD, SQL, Symfony, Tableau, AWS, Azure, Python, Agile, JavaScript, Power BI, Scrum","Arabe, Français","Courant, Intermédiaire, Bilingue","Expérience chez REDAL pendant 7 an(s).",,,"1 mois",24816
648,Bennani,Nadia,nadia.bennani648@email.ma,0639552417,48,Tanger,2,"Analyste BI","Maroc Telecom",Bac+2,"Master MIAGE",EHTP,2015,"Git, CI/CD, Python, Spring, Machine Learning, Scrum, Angular, REST API","Anglais, Français","Natif, Intermédiaire, Courant","Expérience chez Attijariwafa Bank pendant 2 an(s).",,Azure,"2 mois",7147
649,Chraibi,Anas,anas.chraibi649@email.ma,0671750994,37,Agadir,6,"Ingénieur DevOps",BMCE,Bac+3,"Ingénieur d'état",INSEA,2014,"Angular, React, TensorFlow, Tableau, CI/CD, Machine Learning, Pandas, Docker, AWS, JavaScript","Français, Anglais, Arabe","Bilingue, Intermédiaire, Courant","Expérience chez Capgemini Maroc pendant 6 an(s).","Projet JavaScript.",,"3 mois",6008
650,Chraibi,Tarik,tarik.chraibi650@email.ma,0647655125,49,Taza,3,"Analyste BI",Webhelp,Bac+3,"Master SI",EMI,2013,"Laravel, React, Azure, Angular, MySQL, Scrum, Power BI, Java, Node.js, Git, Pandas","Anglais, Arabe, Français","Courant, Bilingue, Intermédiaire","Expérience chez Attijariwafa Bank pendant 3 an(s).","Projet PostgreSQL.",,"2 mois",9280
651,Berrada,Khadija,khadija.berrada651@email.ma,0656964549,38,Sale,15,"Analyste BI","Société nationale",Bac+5,"Ingénieur d'état",ENSI,2023,"REST API, Azure, MySQL, Angular, Tableau, Spring, CI/CD, React, Agile","Arabe, Anglais, Français","Courant, Intermédiaire, Bilingue","Expérience chez Capgemini Maroc pendant 15 an(s).",,,"2 mois",18240
652,Rami,Omar,omar.rami652@email.ma,0666146780,29,Taza,15,"Ingénieur cloud",REDAL,Bac+5,"Ingénieur d'état",EMI,2021,"Laravel, TensorFlow, Pandas","Arabe, Anglais","Intermédiaire, Courant","Expérience chez Inwi pendant 15 an(s).","Projet Power BI.",Scrum,Immédiate,17708
653,Bensouda,Fatima,fatima.bensouda653@email.ma,0621866575,47,Mohammedia,3,"Analyste BI",Majorel,Bac+3,"Master SI","FST Fes",2013,"MySQL, Machine Learning, PHP, Azure, Angular, JavaScript","Arabe, Anglais, Français","Natif, Intermédiaire","Expérience chez BMCE pendant 3 an(s).","Projet Spring.",PMP,Immédiate,8343
654,Belkadi,Omar,omar.belkadi654@email.ma,0668122569,23,Fes,14,"Développeur PHP","Groupe Addoha",Bac+2,"Master MIAGE","Université Hassan II",2016,"Vue.js, Tableau, Agile, Azure, Pandas, Docker, Symfony, Java, AWS, Scrum, Kubernetes","Anglais, Arabe","Courant, Natif, Intermédiaire","Expérience chez REDAL pendant 14 an(s).","Projet PostgreSQL.",,"3 mois",8469
655,Kettani,Meryem,meryem.kettani655@email.ma,0667807416,50,Marrakech,12,"Testeur QA","Maroc Telecom",Bac+5,"Master Data","FST Fes",2018,"MySQL, Spring, AWS, SQL, Agile, Docker, PostgreSQL","Anglais, Français, Arabe","Natif, Bilingue","Expérience chez Majorel pendant 12 an(s).",,,"1 mois",29071
656,Belkadi,Youssef,youssef.belkadi656@email.ma,0627772850,22,Taza,14,"Data Scientist","Deloitte Maroc",Bac+2,"Master Big Data","UM5 Rabat",2025,"JavaScript, Docker, MySQL, Laravel, AWS","Français, Anglais","Courant, Bilingue, Natif","Expérience chez Orange Maroc pendant 14 an(s).","Projet Pandas.",,Immédiate,9881
657,Bennani,Karim,karim.bennani657@email.ma,0632448990,50,Mohammedia,14,"Ingénieur cloud",Inwi,Bac+5,"Master Data","Al Akhawayn",2013,"Linux, PostgreSQL, Tableau, Kubernetes, Java, REST API, Scrum, AWS, Power BI, Git, Agile, Node.js","Anglais, Français, Arabe","Natif, Intermédiaire","Expérience chez Royal Air Maroc pendant 14 an(s).",,Azure,"2 mois",12952
658,Rami,Tarik,tarik.rami658@email.ma,0669837095,29,Mohammedia,13,"Analyste BI","Royal Air Maroc",Bac+3,"Ingénieur d'état",ENSI,2024,"Linux, MySQL, Pandas, Vue.js, Machine Learning, Spring, PostgreSQL, Agile, TensorFlow, PHP, Symfony","Arabe, Anglais, Français","Natif, Bilingue, Courant","Expérience chez Deloitte Maroc pendant 13 an(s).",,,"1 mois",11267
659,Chraibi,Asmae,asmae.chraibi659@email.ma,0642650656,36,Tetouan,10,"Testeur QA",Webhelp,Bac+3,"Master Big Data",EMI,2025,"PostgreSQL, Git, TensorFlow, Laravel, Vue.js, PHP, JavaScript, Agile","Anglais, Arabe, Français","Natif, Bilingue","Expérience chez Deloitte Maroc pendant 10 an(s).","Projet AWS.",Azure,"1 mois",22685
660,Benjelloun,Soukaina,soukaina.benjelloun660@email.ma,0675702786,30,Fes,5,"Ingénieur réseau","Attijariwafa Bank",Bac+2,"Master SI","FST Marrakech",2025,"Node.js, PostgreSQL, Pandas","Français, Anglais","Natif, Bilingue","Expérience chez Orange Maroc pendant 5 an(s).","Projet Vue.js.",Azure,Immédiate,10639
661,Sefrioui,Rachid,rachid.sefrioui661@email.ma,0611614570,41,Kenitra,12,"Scrum Master","Royal Air Maroc",Bac+3,"Master Data",ENSI,2021,"CI/CD, Vue.js, AWS, Pandas, Java, Laravel, Agile, Kubernetes","Anglais, Arabe","Natif, Courant, Bilingue","Expérience chez Majorel pendant 12 an(s).","Projet Linux.",,"2 mois",14195
662,Bensouda,Omar,omar.bensouda662@email.ma,0631741036,36,Meknes,12,"Architecte solutions",CGI,Bac+3,"Master Réseaux",ENSIAS,2023,"AWS, Vue.js, Python, Laravel, Linux, PHP, TensorFlow, Java, MySQL, Node.js","Anglais, Français","Bilingue, Natif","Expérience chez Majorel pendant 12 an(s).","Projet Angular.",Scrum,"1 mois",6998
663,Naciri,Rachid,rachid.naciri663@email.ma,0642929200,32,Oujda,6,"Chef de projet IT","Deloitte Maroc",Bac+5,"Licence informatique","FST Fes",2024,"Angular, Git, Linux, AWS, Laravel, Node.js, JavaScript, Docker","Français, Anglais, Arabe","Natif, Courant, Bilingue","Expérience chez Webhelp pendant 6 an(s).",,,Immédiate,7878
664,Naciri,Laila,laila.naciri664@email.ma,0679874422,53,Kenitra,15,"Ingénieur logiciel",REDAL,Bac+2,"Master MIAGE",ENSI,2018,"Angular, MySQL, Azure, Kubernetes, TensorFlow","Français, Arabe","Bilingue, Natif","Expérience chez Deloitte Maroc pendant 15 an(s).","Projet Java.",,Immédiate,8777
665,Lamrani,Tarik,tarik.lamrani665@email.ma,0664418750,34,Sale,8,"Ingénieur cloud",CGI,Bac+5,"Master Data","UM5 Rabat",2011,"Scrum, SQL, Python, Angular, Azure, PostgreSQL, Agile, PHP, Spring, TensorFlow","Arabe, Anglais","Intermédiaire, Natif","Expérience chez Majorel pendant 8 an(s).","Projet SQL.",Azure,Immédiate,14231
666,Fassi,Amine,amine.fassi666@email.ma,0641489886,53,Khemisset,14,"Architecte solutions","Royal Air Maroc",Bac+2,"Licence informatique","Université Cadi Ayyad",2011,"Vue.js, Pandas, React, Docker, PostgreSQL, TensorFlow, Linux, Java, Scrum, Angular, Kubernetes, Laravel","Anglais, Français","Bilingue, Courant, Intermédiaire","Expérience chez OCP pendant 14 an(s).",,,"3 mois",10678
667,Chaoui,Mehdi,mehdi.chaoui667@email.ma,0676052052,31,Casablanca,7,"Développeur .NET",BMCE,Bac+5,"Licence informatique","Al Akhawayn",2019,"Vue.js, Azure, Laravel, Linux, Spring, Symfony, Java, Kubernetes","Français, Arabe","Natif, Courant","Expérience chez Deloitte Maroc pendant 7 an(s).",,Azure,"2 mois",16206
668,Tazi,Youssef,youssef.tazi668@email.ma,0634685050,54,Tanger,14,"Développeur Python",OCP,Bac+3,"Master SI",EHTP,2014,"Symfony, Node.js, Linux, PostgreSQL, React, TensorFlow, Docker, Kubernetes, Laravel","Anglais, Français","Courant, Bilingue, Intermédiaire","Expérience chez CGI pendant 14 an(s).",,PMP,Immédiate,17163
669,Alaoui,Zineb,zineb.alaoui669@email.ma,0667646522,36,"El Jadida",10,"Ingénieur réseau","Orange Maroc",Bac+5,"Master MIAGE","FST Marrakech",2024,"Laravel, SQL, PostgreSQL, Linux, Machine Learning, TensorFlow, Spring, Git, Agile, Node.js","Arabe, Français, Anglais","Intermédiaire, Natif","Expérience chez Royal Air Maroc pendant 10 an(s).",,PMP,"1 mois",24276
670,Benkirane,Omar,omar.benkirane670@email.ma,0673851640,34,Tetouan,11,"Testeur QA",Majorel,Bac+5,"Ingénieur d'état",INSEA,2014,"REST API, Power BI, Spring, Tableau, TensorFlow, Docker","Arabe, Français","Courant, Intermédiaire","Expérience chez BMCE pendant 11 an(s).",,Scrum,"2 mois",4967
671,Bennani,Meryem,meryem.bennani671@email.ma,0631252331,41,Rabat,0,,,Bac+5,"Master SI","Université Cadi Ayyad",2024,"Angular, Vue.js, Azure, MySQL, React, SQL, Tableau, CI/CD","Arabe, Français","Natif, Bilingue",,"Projet SQL.",,"2 mois",10821
672,Chaoui,Youssef,youssef.chaoui672@email.ma,0635736714,35,Tetouan,2,"Responsable SI","Société nationale",Bac+2,"Licence informatique",ENSIAS,2023,"Kubernetes, Pandas, Linux, Docker, PHP, Power BI","Anglais, Arabe","Bilingue, Courant, Intermédiaire","Expérience chez Orange Maroc pendant 2 an(s).","Projet Symfony.",Azure,"3 mois",24507
673,Kettani,Laila,laila.kettani673@email.ma,0670170771,32,Meknes,1,"Testeur QA",OCP,Bac+5,"Master Réseaux","Université Hassan II",2011,"Scrum, Agile, Laravel, Angular, PHP, SQL, React, JavaScript, Java, Machine Learning, CI/CD","Arabe, Anglais, Français","Courant, Natif","Expérience chez Attijariwafa Bank pendant 1 an(s).",,,"2 mois",29915
674,Tazi,Imane,imane.tazi674@email.ma,0622828106,24,Khouribga,13,"Développeur Java","Groupe Addoha",Bac+5,"Licence informatique",ENSI,2016,"React, Scrum, AWS, TensorFlow, Power BI","Anglais, Français, Arabe","Bilingue, Natif","Expérience chez Lydec pendant 13 an(s).","Projet Azure.",AWS,"3 mois",17677
675,Bensouda,Youssef,youssef.bensouda675@email.ma,0620027703,25,Fes,5,"Product Owner",REDAL,Bac+3,"Master Data","FST Marrakech",2011,"CI/CD, Python, PHP, Scrum, Azure","Français, Arabe","Courant, Bilingue, Intermédiaire","Expérience chez Deloitte Maroc pendant 5 an(s).","Projet JavaScript.",Azure,"3 mois",22520
676,Lamrani,Adil,adil.lamrani676@email.ma,0625914586,38,Kenitra,11,"Développeur PHP",CGI,Bac+3,"Master MIAGE",INSEA,2020,"Spring, Linux, React, Power BI, REST API, Java, PostgreSQL, Vue.js","Arabe, Anglais, Français","Intermédiaire, Courant, Bilingue","Expérience chez Webhelp pendant 11 an(s).","Projet Git.",AWS,"2 mois",11094
677,Fassi,Tarik,tarik.fassi677@email.ma,0655213673,47,Agadir,5,"Développeur PHP","Deloitte Maroc",Bac+3,"Master Data",ENSI,2023,"Tableau, Linux, Spring, Node.js, JavaScript, Docker, Power BI, Vue.js, Machine Learning","Arabe, Anglais","Courant, Natif","Expérience chez Royal Air Maroc pendant 5 an(s).","Projet Tableau.",Scrum,"1 mois",5495
678,Kabbaj,Ibrahim,ibrahim.kabbaj678@email.ma,0625430388,48,Casablanca,11,"Chef de projet IT","Société nationale",Bac+2,"Licence informatique",ENSI,2016,"JavaScript, Machine Learning, Symfony, PHP","Français, Anglais","Natif, Courant","Expérience chez Lydec pendant 11 an(s).",,Azure,"3 mois",15563
679,Rami,Asmae,asmae.rami679@email.ma,0612156797,45,Khouribga,14,"Ingénieur logiciel","Attijariwafa Bank",Bac+5,"Master Big Data","Université Hassan II",2023,"PHP, Git, Pandas, Spring, Docker, Laravel, Python, SQL, REST API","Anglais, Arabe","Bilingue, Intermédiaire, Courant","Expérience chez Royal Air Maroc pendant 14 an(s).","Projet Power BI.",,"2 mois",29824
680,Sefrioui,Karim,karim.sefrioui680@email.ma,0630553364,21,Berrechid,12,"Ingénieur réseau",Inwi,Bac+3,"Licence informatique","Al Akhawayn",2016,"REST API, Docker, Linux, PostgreSQL, PHP, Scrum, Git, SQL","Arabe, Français","Intermédiaire, Bilingue, Courant","Expérience chez Inwi pendant 12 an(s).",,,"2 mois",4421
681,Alaoui,Salim,salim.alaoui681@email.ma,0662315659,50,Berrechid,9,"Développeur Java","Deloitte Maroc",Bac+5,"Master SI","Université Cadi Ayyad",2013,"Scrum, AWS, CI/CD, Docker, TensorFlow, React, Spring, Python, PHP","Français, Anglais","Natif, Bilingue, Courant","Expérience chez REDAL pendant 9 an(s).",,,"3 mois",9036
682,Chaoui,Aicha,aicha.chaoui682@email.ma,0642802285,40,Tetouan,9,"Scrum Master","Groupe Addoha",Bac+2,"Licence informatique","Al Akhawayn",2019,"SQL, Kubernetes, React, PostgreSQL, Linux, Machine Learning","Anglais, Français, Arabe","Intermédiaire, Bilingue","Expérience chez Royal Air Maroc pendant 9 an(s).",,,"2 mois",12965
683,Kabbaj,Zakaria,zakaria.kabbaj683@email.ma,0639170348,39,Nador,15,"Ingénieur cloud",OCP,Bac+2,"Master Réseaux",ENSIAS,2024,"Angular, Spring, React, CI/CD","Arabe, Français","Courant, Intermédiaire","Expérience chez Groupe Addoha pendant 15 an(s).",,,"3 mois",25985
684,Ouazzani,Laila,laila.ouazzani684@email.ma,0635942759,33,Meknes,13,"Administrateur système","Maroc Telecom",Bac+3,"Master SI","UM5 Rabat",2011,"AWS, Azure, PostgreSQL, MySQL, Symfony, React, REST API, Agile, PHP, Scrum, Spring, Pandas","Anglais, Français, Arabe","Intermédiaire, Natif, Bilingue","Expérience chez Majorel pendant 13 an(s).",,,Immédiate,8897
685,Benjelloun,Nabil,nabil.benjelloun685@email.ma,0640293907,38,Agadir,4,"Développeur Java","Société nationale",Bac+3,"Master Réseaux","FST Marrakech",2013,"Spring, Machine Learning, React, Angular, PostgreSQL","Arabe, Français","Intermédiaire, Bilingue","Expérience chez Deloitte Maroc pendant 4 an(s).",,,"2 mois",10127
686,Fahmi,Khadija,khadija.fahmi686@email.ma,0658649337,41,Agadir,1,"Chef de projet IT","Maroc Telecom",Bac+3,"Master MIAGE",EMI,2023,"Machine Learning, React, Symfony, Azure, Agile, Laravel, PostgreSQL, Node.js","Arabe, Anglais, Français","Natif, Intermédiaire","Expérience chez Lydec pendant 1 an(s).","Projet PostgreSQL.",,"1 mois",14223
687,Bennani,Imane,imane.bennani687@email.ma,0614692137,39,Casablanca,0,,,Bac+3,"Master Data",ENSI,2015,"Java, Azure, Vue.js","Arabe, Anglais","Intermédiaire, Bilingue",,,,"2 mois",16742
688,Belkadi,Imane,imane.belkadi688@email.ma,0640519649,43,Tetouan,5,"Responsable SI","Royal Air Maroc",Bac+2,"Master Réseaux",ENSIAS,2022,"Laravel, Power BI, CI/CD, Java, Node.js","Arabe, Français, Anglais","Natif, Intermédiaire","Expérience chez Majorel pendant 5 an(s).",,AWS,"3 mois",13758
689,Tazi,Houda,houda.tazi689@email.ma,0667656048,47,Nador,0,,,Bac+2,"Master Réseaux","Université Cadi Ayyad",2019,"Kubernetes, JavaScript, Laravel","Arabe, Français","Natif, Intermédiaire",,,Scrum,Immédiate,29959
690,Berrada,Soukaina,soukaina.berrada690@email.ma,0653330707,40,Khouribga,3,"Développeur Full Stack","Attijariwafa Bank",Bac+2,"Master MIAGE",INSEA,2017,"Spring, PostgreSQL, React, Docker, Power BI, Pandas, CI/CD, Kubernetes, Machine Learning, Laravel","Arabe, Français, Anglais","Courant, Intermédiaire, Natif","Expérience chez Deloitte Maroc pendant 3 an(s).","Projet Node.js.",Azure,"3 mois",14507
691,Bennani,Zakaria,zakaria.bennani691@email.ma,0619081031,40,Khouribga,13,"Administrateur système","Orange Maroc",Bac+5,"Ingénieur d'état",ENSI,2018,"Agile, Azure, Machine Learning, TensorFlow, Power BI, Kubernetes, Git, AWS, React, PHP, Linux","Français, Anglais","Bilingue, Courant, Natif","Expérience chez OCP pendant 13 an(s).","Projet Azure.",,"1 mois",29852
692,Fahmi,Fatima,fatima.fahmi692@email.ma,0611638386,24,Settat,13,"Développeur mobile",Inwi,Bac+5,"Master Réseaux","FST Marrakech",2013,"SQL, PostgreSQL, Python, Spring","Anglais, Français","Intermédiaire, Bilingue","Expérience chez OCP pendant 13 an(s).","Projet PostgreSQL.",PMP,"1 mois",12692
693,Bennani,Meryem,meryem.bennani693@email.ma,0679383398,48,Tetouan,8,"Développeur Python",REDAL,Bac+5,"Master Data","FST Fes",2016,"JavaScript, Scrum, PostgreSQL, TensorFlow, Python, Tableau, Linux, AWS, Spring, Symfony, Docker","Anglais, Français","Courant, Intermédiaire","Expérience chez Majorel pendant 8 an(s).","Projet CI/CD.",Scrum,Immédiate,28598
694,Bouhout,Amine,amine.bouhout694@email.ma,0645618657,48,Inezgane,11,"Ingénieur DevOps",OCP,Bac+3,"Master Data",ENSIAS,2016,"Azure, Tableau, Symfony, SQL, Angular, Java, CI/CD, Git, Kubernetes","Français, Anglais","Bilingue, Natif, Intermédiaire","Expérience chez Maroc Telecom pendant 11 an(s).","Projet Linux.",PMP,"1 mois",28240
695,Chaoui,Khadija,khadija.chaoui695@email.ma,0662850434,52,Tanger,5,"Architecte solutions",REDAL,Bac+3,"Ingénieur d'état","Université Cadi Ayyad",2014,"Scrum, Angular, Power BI, Docker, Node.js","Anglais, Français","Intermédiaire, Courant, Natif","Expérience chez Orange Maroc pendant 5 an(s).",,Azure,"3 mois",24374
696,Bensouda,Omar,omar.bensouda696@email.ma,0618005200,46,Tanger,9,"Testeur QA",Webhelp,Bac+3,"Master SI",ENSI,2024,"SQL, Docker, TensorFlow","Anglais, Arabe","Bilingue, Intermédiaire","Expérience chez Lydec pendant 9 an(s).","Projet Symfony.",AWS,"1 mois",16739
697,Bouhout,Mohamed,mohamed.bouhout697@email.ma,0665710700,49,Khemisset,7,"Développeur Python",OCP,Bac+5,"Master Réseaux","UM5 Rabat",2013,"PHP, TensorFlow, Angular, Linux, CI/CD, Spring","Anglais, Arabe, Français","Bilingue, Courant, Natif","Expérience chez Lydec pendant 7 an(s).","Projet Vue.js.",PMP,"1 mois",28295
698,Moussaoui,Mohamed,mohamed.moussaoui698@email.ma,0633468223,46,Khemisset,1,"Développeur Java","Société nationale",Bac+2,"Master Réseaux",INSEA,2013,"PHP, PostgreSQL, Laravel, Node.js, Power BI, Vue.js, REST API, TensorFlow, MySQL, Scrum, AWS","Français, Anglais, Arabe","Bilingue, Courant","Expérience chez Groupe Addoha pendant 1 an(s).",,Scrum,"3 mois",14270
699,Kettani,Houda,houda.kettani699@email.ma,0613163330,51,Khemisset,13,"Ingénieur cloud",Webhelp,Bac+5,"Master Data",EMI,2013,"Pandas, Symfony, PHP, PostgreSQL, Agile, Vue.js, Java, CI/CD, REST API","Anglais, Arabe","Natif, Intermédiaire","Expérience chez BMCE pendant 13 an(s).",,Scrum,Immédiate,12423
700,Moussaoui,Houda,houda.moussaoui700@email.ma,0670474509,36,Kenitra,4,"Consultant SAP",Lydec,Bac+3,"Master Big Data",ENSIAS,2025,"Tableau, Agile, Power BI, Spring, Python","Arabe, Anglais, Français","Natif, Bilingue, Courant","Expérience chez Inwi pendant 4 an(s).",,Scrum,"2 mois",22555
701,Chaoui,Laila,laila.chaoui701@email.ma,0643450591,42,Marrakech,14,"Ingénieur DevOps",CGI,Bac+5,"Licence informatique","Université Cadi Ayyad",2020,"JavaScript, Tableau, Docker, REST API, Spring, Kubernetes, Laravel, Angular, Power BI, TensorFlow","Français, Arabe, Anglais","Intermédiaire, Natif, Courant","Expérience chez Deloitte Maroc pendant 14 an(s).","Projet REST API.",,"3 mois",12243
702,Mekki,Bilal,bilal.mekki702@email.ma,0645989968,28,Khouribga,3,"Scrum Master","Groupe Addoha",Bac+2,"Ingénieur d'état",ENSIAS,2016,"JavaScript, Agile, Azure, Machine Learning, Python, Node.js, TensorFlow, Angular, React","Anglais, Arabe, Français","Courant, Natif, Bilingue","Expérience chez Majorel pendant 3 an(s).",,,Immédiate,19936
703,Lamrani,Amine,amine.lamrani703@email.ma,0668440194,43,Inezgane,11,"Data Engineer",Inwi,Bac+2,"Licence informatique",ENSIAS,2013,"JavaScript, Symfony, Spring, Docker, Vue.js, Agile, Pandas, Python, PostgreSQL, Node.js","Français, Arabe","Courant, Bilingue","Expérience chez CGI pendant 11 an(s).","Projet REST API.",,Immédiate,16892
704,Bouhout,Nadia,nadia.bouhout704@email.ma,0633890860,29,Inezgane,3,"Ingénieur DevOps","Capgemini Maroc",Bac+2,"Master MIAGE","Al Akhawayn",2019,"Laravel, Machine Learning, Scrum, Agile, Linux, Python, SQL, PostgreSQL, Node.js, Git, Tableau","Anglais, Français","Intermédiaire, Bilingue","Expérience chez BMCE pendant 3 an(s).",,,"2 mois",24835
705,Kettani,Tarik,tarik.kettani705@email.ma,0671008924,42,Casablanca,9,"Testeur QA","Société nationale",Bac+3,"Licence informatique",EMI,2016,"React, Kubernetes, Angular, Vue.js, AWS, JavaScript, Azure, PHP, Python, Agile","Arabe, Français","Natif, Intermédiaire","Expérience chez BMCE pendant 9 an(s).",,,"1 mois",15868
706,Sbai,Laila,laila.sbai706@email.ma,0646835962,51,Settat,0,,,Bac+2,"Master MIAGE",EHTP,2014,"Agile, SQL, Vue.js, AWS","Arabe, Anglais","Natif, Bilingue, Intermédiaire",,"Projet Machine Learning.",,"3 mois",21728
707,Chraibi,Ibrahim,ibrahim.chraibi707@email.ma,0678944779,46,Taza,14,"Data Scientist","Société nationale",Bac+2,"Ingénieur d'état",EMI,2020,"Kubernetes, AWS, Laravel, CI/CD, JavaScript","Anglais, Arabe, Français","Natif, Courant","Expérience chez CGI pendant 14 an(s).","Projet PHP.",,"1 mois",29869
